SrNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,HundredMillionOrMore,OneMillionOrMore,Funded,Industry,BangaloreBased,InMegaCity,TechRelated,PrivateEquity,SeedFunding,PrivateOrSeed,Year,FiveMillionOrMore,TopInvestor
1,20-Jan,BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,200000000,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,No,Yes,2020,1,No
2,20-Jan,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394,No,Yes,Yes,Other,No,No,No,No,No,No,2020,1,No
3,20-Jan,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,18358860,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2020,1,No
4,20-Jan,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000,No,Yes,Yes,Other,No,Yes,Yes,No,No,No,2020,0,No
5,20-Jan,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2020,0,No
6,20-Jan,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2020,1,No
7,20-Jan,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000,Yes,Yes,Yes,Other,No,No,No,Yes,No,Yes,2020,1,No
8,19-Dec,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
9,19-Dec,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
10,19-Dec,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed Funding,50000000,No,Yes,Yes,Other,Yes,Yes,No,No,Yes,Yes,2019,1,No
11,19-Dec,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
12,19-Dec,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
13,19-Dec,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,30000000,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2019,1,No
14,19-Dec,InCred,Finance,Non-Banking Financial Company,Mumbai,Unknown High Net-Worth Individuals,Debt Funding,5900000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
15,19-Dec,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,2000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,0,No
16,19-Dec,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
17,19-Dec,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000,Yes,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
18,19-Nov,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000,Yes,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
19,19-Nov,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000,No,No,Yes,Other,No,No,No,No,No,No,2019,0,No
20,19-Nov,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,1500000,No,Yes,Yes,Other,No,No,No,No,Yes,Yes,2019,0,No
21,19-Nov,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0,No,No,No,Other,No,No,No,No,No,No,2019,0,No
22,19-Nov,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
23,19-Nov,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,26000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
24,19-Nov,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
25,19-Nov,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000,No,Yes,Yes,Other,No,No,No,No,Yes,Yes,2019,0,No
26,19-Nov,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000,Yes,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
27,19-Nov,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Funding,300000,No,No,Yes,Other,No,No,No,No,Yes,Yes,2019,0,No
28,19-Nov,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000,Yes,Yes,Yes,Other,No,No,Yes,No,Yes,Yes,2019,1,No
29,19-Nov,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
30,19-Nov,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,Yes,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
